RCP_SNO,CKG_NM,CRAWL_COMMENT_CNT,CRAWL_COOK_REVIEW_CNT
7019486,모닝빵 에그샌드위치,0.0,
7019489,멸치 쌈장,0.0,
7019495,나박김치,0.0,
7019496,유부초밥,0.0,1.0
7019497,늙은호박전,0.0,
7019502,양배추 퀘사디아,0.0,2.0
7019503,간장 계란장,0.0,
7019505,스끼야끼,0.0,
7019513,잡채덮밥,1.0,
7019519,당근 케이크,0.0,
7019521,콩나물 황태국,0.0,
7019522,고사리고등어조림,0.0,1.0
7019524,낫또,0.0,
7019526,돼지고기 소보로,0.0,1.0
7019527,돈까스덮밥,0.0,
7019534,명란김밥,0.0,
7019538,쌈닭,0.0,
7019543,가지 소고기덮밥,0.0,
7019547,가자미 미역국,0.0,
7019553,떡국고명,0.0,
7019554,꼬치전,0.0,
7019555,소고기 육전,0.0,1.0
7019558,삼겹살김치찜,0.0,
7019579,간장진미채볶음,0.0,
7019580,오븐 카스테라,0.0,
7019584,깻잎전,0.0,
7019586,버섯 잡채,0.0,1.0
